Sector,ROffset,LOffset,TPOffset
A01,133,133,90
A02,133,133,91
A03,133,134,92
A04,133,133,91
A05,132,132,91
A06,132,132,92
A07,131,131,92
A08,131,131,92
A09,130,130,92
A10,130,130,92
A11,131,132,91
A12,131,131,92
A13,132,131,91
A14,132,132,91
A15,133,132,91
A16,133,133,91
C01,134,134,91
C02,133,134,91
C03,133,134,92
C04,132,133,92
C05,132,132,91
C06,131,131,92
C07,131,131,91
C08,131,131,92
C09,130,130,92
C10,130,130,92
C11,131,131,90
C12,131,131,91
C13,131,131,91
C14,132,132,91
C15,133,133,91
C16,133,133,91
