Json Name,c++ Code name,c++ Code/Default Value,Bus Name,Register Name,readability,In Json
,,,mmtp_firmwareVersion,dateCode,r,
,,,mmtp_firmwareVersion,gitHash,r,
L1ABusyThreshold,,,mmtp_l1aReadout,l1a_busy_threshold,rw,T
L1AClosingOffset,,,mmtp_l1aReadout,l1a_closing_offset,rw,T
,,,mmtp_l1aReadout,l1a_control,rw,F
L1AOpeningOffset,,,mmtp_l1aReadout,l1a_opening_offset,rw,T
L1ARequestOffset,,,mmtp_l1aReadout,l1a_request_offset,rw,T
L1ATimeoutWindow,,,mmtp_l1aReadout,l1a_timeout_window,rw,T
,,,mmtp_l1aReadout,l1aPipeOF,r,
,,,mmtp_l1aReadout,l1aPipeOFReset,rw,
,,,mmtp_l1aReadout,l1aPipeFlush,rw,
EnableChannelRates,,,mmtp_chanRateDet,chanHitRateEna,rw,T
,,,mmtp_ttc,ttcPhase,rw,
,,,mmtp_ttc,bcrCnt,r,
,,,mmtp_ttc,ecrCnt,r,
,,,mmtp_ttc,l1aCnt,r,
SelfTriggerDelay,,,mmtp_ttc,algoL1aLat,rw,T
,REG_ADDC_EMU_DISABLE,1,mmtp_ttc,control,rw,T
,,,mmtp_horxEnviromentMonitor,horxEnvMonAddr,rw,
,,,mmtp_horxEnviromentMonitor,horxEnvMonData,r,
,,,mmtp_artAnalysisAutomask,offsetModeBcid,r,
,,,mmtp_artAnalysisAutomask,offsetModeCnt,r,
,,,mmtp_artAnalysisAutomask,bxLsbReg_0,r,
,,,mmtp_artAnalysisAutomask,bxLsbReg_1,r,
,,,mmtp_artAnalysisAutomask,bxLsbReg_2,r,
,,,mmtp_artAnalysisAutomask,bxLsbReg_3,r,
,,,mmtp_artAnalysisAutomask,gbtAlign,r,
,,,mmtp_artAnalysisAutomask,gbtBcidOk,r,
,,,mmtp_artAnalysisAutomask,vmmAutoMask,r,
,,,mmtp_artAnalysisAutomask,vmmAutoMaskSel,rw,
VmmMaskDrainPeriod,,,mmtp_artAnalysisAutomask,vmmMaskDrainPeriod,rw,T
VmmMaskHotThresh,,,mmtp_artAnalysisAutomask,vmmMaskHotThresh,rw,T
VmmMaskHotThreshHyst,,,mmtp_artAnalysisAutomask,vmmMaskHotThreshHyst,rw,T
SegmentAdjust,,,mmtp_algo,segmentBcidAdj,rw,T
phiBinInvert,,0,mmtp_algo,phiBinInvert,rw,T
,,,mmtp_lateralTx,trackCanBcidSkew,r,
fiberRemapSel,,0,mmtp_gbtAlignRemap,fiberRemapSel,rw,T
GlobalInputPhase,,,mmtp_gbtAlignRemap,gbtPhaseSel,rw,T
gbtL1ddPhaseOffset,,,mmtp_gbtAlignRemap,gbtL1ddcPhaseOffset,rw,T
GlobalInputOffset,,,mmtp_gbtAlignRemap,gbtAddcPhaseOffset,rw,T
,,0,mmtp_monitoring,monRegionMask,rw,T
gloSyncBcidOffset,,,mmtp_globalSync,gloSyncBcidOffset,rw,T
gloSyncIdleState,,,mmtp_globalSync,gloSyncIdleState,rw,T
LocalBcidOffset,,,mmtp_globalSync,localBcidOffset,rw,T
latTxBcidOffset,,,mmtp_globalSync,latTxBcidOffset,rw,T
,REG_LAT_TX_IDLE_STATE,,mmtp_globalSync,latTxIdleState,rw,F
,,,mmtp_clocksResets,rstGbtPll,rw,
